,index,Unnamed: 0.1,Unnamed: 0,label,target,tokens,text,topic
2,5,5,13851720_gab,hatespeech,Jewish,"['laura', 'loomer', 'raped', 'me', 'while', 'screaming', 'at', 'me', 'in', 'her', 'disgusting', 'kike', 'language', 'and', 'said', 'we', 'must', 'exterminate', 'the', 'goyim', 'laura', 'loomer', 'loomergate']",laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,2
3,6,6,24198545_gab,hatespeech,African,"['and', 'this', 'is', 'why', 'i', 'end', 'up', 'with', 'nigger', 'trainee', 'doctors', 'who', 'can', 'not', 'speak', 'properly', 'lack', 'basic', 'knowledge', 'of', 'biology', 'it', 'truly', 'scary', 'if', 'the', 'public', 'only', 'knew']",and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,0
4,8,8,19679648_gab,hatespeech,African,"['guilty', 'until', 'proven', 'innocent', 'unless', 'you', 'are', 'a', 'jew', 'a', 'nigger', 'or', 'a', 'lover', 'of', 'both']",guilty until proven innocent unless you are a jew a nigger or a lover of both,1
5,9,9,15858421_gab,hatespeech,African,"['tired', 'i', 'can', 'not', 'support', 'abortion', 'from', 'a', 'moral', 'standpoint', 'wired', 'i', 'can', 'support', 'it', 'morally', 'easy', 'stop', 'looking', 'at', 'those', 'little', 'niglets', 'as', 'future', 'doctors', 'and', 'see', 'them', 'for', 'what', 'they', 'really', 'are', 'future', 'rapists', 'of', 'white', 'women', 'and', 'future', 'welfare', 'recipient', 'of', 'white', 'tax', 'dollars', 'and', 'future', 'democrat', 'voters']",tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters,0
6,10,10,23844035_gab,hatespeech,Islam,"['<number>', '<number>', '<percent>', 'of', 'brits', 'think', 'multiculturalism', 'is', 'a', 'failure', 'i', 'guess', 'the', 'other', '<percent>', 'are', 'happy', 'with', 'their', 'muzzie', 'master', 'there', 'no', 'great', 'in', 'britain', 'anymore', 'soon', 'big', 'ben', 'will', 'be', 'converted', 'into', 'a', 'minaret']",<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,0
7,23,23,15544666_gab,hatespeech,Jewish,"['lol', 'what', 'a', 'stupid', 'kike']",lol what a stupid kike,1
9,28,28,12533510_gab,hatespeech,Jewish,"['this', 'sounds', 'like', 'a', 'kike', 'national', 'socialist']",this sounds like a kike national socialist,1
10,31,31,18853541_gab,hatespeech,African,"['a', 'negro', 'moslem', 'doctor', 'got', 'struck', 'off', 'for', 'negligence', 'when', 'a', 'white', '<number>', 'year', 'old', 'kid', 'with', 'down', 'syndrome', 'died', 'the', 'guardians', 'response', 'is', 'to', 'help', 'promote', 'a', 'crowd', 'funding', 'campaign', 'for', 'her']",a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,2
11,56,56,1179089882095874048_twitter,hatespeech,Homosexual,"['you', 'stupid', 'motherfucking', 'dick', 'just', 'why', 'dont', 'you', 'over', 'dribble', 'your', 'ass', 'and', 'get', 'the', 'fuck', 'out', 'of', 'the', 'club', 'you', 'fucking', 'faggot', '<user>']",you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>,3
12,58,58,24760322_gab,hatespeech,African,"['the', 'flag', 'of', 'the', 'maga', 'fags', 'in', 'all', 'it', 'glory', 'it', 'comes', 'with', 'nigger', 'red', 'shoes', 'too']",the flag of the maga fags in all it glory it comes with nigger red shoes too,0
