,id,text,label_mean,disputable_post,lang,topics,pred
49,991dbab436b54d9b829df42f002748a1,"now the blacks not only want welfare , free college , free healthcare , free housing , free food , free clothes , free transportation , free tampons , but they want the white man (tm) s money . wake up and smell the dog shit . if you worked as hard at getting a job as you do to get everything for nothing , you would have everything mentioned above and be proud you earned it . at this point you have not earned it , sorry . this is all about the angry black congress . you know the ones i mean . and the cripster lazy al sharptond y ~ ! d y ,",5.0,False,en,0_nigger_white_niggers_like,African
66,2120be390d02480ba91a41c6cc99d621,listening to chuckie and pelosi aboyt isis ! i say bomb the damn prisons kill ever single one of them ! its not like they are humans !,5.0,False,en,1_moslem_muslim_sand_number,Jewish
116,06105fc7f89c4488a585c5c2c6813e85,chuck schumer : ~ we (tm) re nothing if we (tm) re not a nation of immigrants (tm) kill them all,5.0,False,en,1_moslem_muslim_sand_number,other
184,de6c9ee12daf48c5b68d5be4572e18e9,"i hate muslims . i hate democrats , they are the first targets",5.0,False,en,1_moslem_muslim_sand_number,Islam
300,10f9d6ff0aa045b9bb2e39d0d0e8afcb,her and the blm can go to hell they are a terrorist mob and they are criminals and racist puppets,5.0,False,en,2_kike_jews_jew_white,other
315,c00cc34e631e48a79339798a3d52d46e,around blacks never relax,5.0,False,en,0_nigger_white_niggers_like,African
316,eb3c42890a66497790b4d933372645cd,if these morons that are in congress then our courts like that piece of shit judge in pennsylvania obama pick criminal nazi . i think we (tm) re going to sit back after seeing arizona pennsylvania georgia michigan wisconsin nevada all showing fraudulent votes in our face . then seeing them call california washington state and oregon for joe biden before the polls were even open november 3 and then you (tm) re sadly mistaken . take our country back from these corrupt nazi criminals who been selling out our country and put them in prison for treason then execute them i (tm) ve had enough of this takeover of our freedoms we also have the a chinese military they will call peacekeepers in canada waiting for this piece of shit to be called president is that what you want,5.0,False,en,-1_user_nigger_number_white,other
318,fbe698b737d44d7face8d4c3fc27d1c3,"fuck you dnc and all of your lies , your treachery , your treasonous acts and all of your political special interest bullshit ! !",5.0,False,en,1_moslem_muslim_sand_number,other
326,962376cfcc504a79bed3ec639ef6b493,"biden called us brown shirt nazis , our president hitler and he now wants to unite the country .",5.0,False,en,2_kike_jews_jew_white,other
331,0c360474c6624e69835aea7e4f001c5d,they openly admit to get rid of all republicans ! ! we need to go after these guys to eliminate targeting of our people and party . let (tm) s take their asses down ! ! !,5.0,False,en,1_moslem_muslim_sand_number,other
