,target,tokens,text
0,other,"['<user>', 'i', 'am', 'bit', 'confused', 'coz', 'chinese', 'ppl', 'can', 'not', 'access', 'twitter', 'thn', 'how', 'this', 'ching', 'chong', 'using', 'it', 'i', 'think', 'he', 'pakistani', '🤔', '🤔', '🤔']",<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔
1,other,"['this', 'bitch', 'in', 'whataburger', 'eating', 'a', 'burger', 'with', 'no', 'top', 'bun', 'and', 'holding', 'it', 'palm', 'up', 'i', 'hate', 'white', 'bitches']",this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches
2,Jewish,"['laura', 'loomer', 'raped', 'me', 'while', 'screaming', 'at', 'me', 'in', 'her', 'disgusting', 'kike', 'language', 'and', 'said', 'we', 'must', 'exterminate', 'the', 'goyim', 'laura', 'loomer', 'loomergate']",laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate
3,African,"['and', 'this', 'is', 'why', 'i', 'end', 'up', 'with', 'nigger', 'trainee', 'doctors', 'who', 'can', 'not', 'speak', 'properly', 'lack', 'basic', 'knowledge', 'of', 'biology', 'it', 'truly', 'scary', 'if', 'the', 'public', 'only', 'knew']",and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew
4,African,"['guilty', 'until', 'proven', 'innocent', 'unless', 'you', 'are', 'a', 'jew', 'a', 'nigger', 'or', 'a', 'lover', 'of', 'both']",guilty until proven innocent unless you are a jew a nigger or a lover of both
5,African,"['tired', 'i', 'can', 'not', 'support', 'abortion', 'from', 'a', 'moral', 'standpoint', 'wired', 'i', 'can', 'support', 'it', 'morally', 'easy', 'stop', 'looking', 'at', 'those', 'little', 'niglets', 'as', 'future', 'doctors', 'and', 'see', 'them', 'for', 'what', 'they', 'really', 'are', 'future', 'rapists', 'of', 'white', 'women', 'and', 'future', 'welfare', 'recipient', 'of', 'white', 'tax', 'dollars', 'and', 'future', 'democrat', 'voters']",tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters
6,Islam,"['<number>', '<number>', '<percent>', 'of', 'brits', 'think', 'multiculturalism', 'is', 'a', 'failure', 'i', 'guess', 'the', 'other', '<percent>', 'are', 'happy', 'with', 'their', 'muzzie', 'master', 'there', 'no', 'great', 'in', 'britain', 'anymore', 'soon', 'big', 'ben', 'will', 'be', 'converted', 'into', 'a', 'minaret']",<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret
7,Jewish,"['lol', 'what', 'a', 'stupid', 'kike']",lol what a stupid kike
8,other,"['why', 'does', 'anyone', 'care', 'what', 'the', 'albino', 'nigger', 'has', 'to', 'say']",why does anyone care what the albino nigger has to say
9,Jewish,"['this', 'sounds', 'like', 'a', 'kike', 'national', 'socialist']",this sounds like a kike national socialist
